rsi_threshold,vol_mult,trailing_stop_pct,take_profit_pct,portfolio_return_pct,portfolio_sharpe,max_drawdown_pct,total_trades,beats_spy,per_stock
45,1.0,4.0,12.0,1.8571901042049799,1.705668589269284,-29.549667943169766,32,False,"{'R': np.float64(0.18543437839393517), 'GWW': np.float64(0.05517232839422137), 'BEN': np.float64(0.1334792641298912), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.26244117653138543)}"
45,1.0,4.0,15.0,1.7817366027016623,7.594644237330544,-29.549667943169766,30,False,"{'R': np.float64(0.1816617033187693), 'GWW': np.float64(0.05517232839422137), 'BEN': np.float64(0.1334792641298912), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.26244117653138543)}"
45,1.0,4.0,20.0,3.5403457666096245,8.127725887645902,-25.73791432546424,29,False,"{'R': np.float64(0.1816617033187693), 'GWW': np.float64(0.05517232839422137), 'BEN': np.float64(0.13803094883492384), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.17906240304101995)}"
45,1.0,6.0,12.0,1.3393994866078551,1.448378167876994,-29.390759446697736,31,False,"{'R': np.float64(0.18543437839393517), 'GWW': np.float64(0.05517232839422137), 'BEN': np.float64(0.1334792641298912), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.28833070741124167)}"
45,1.0,6.0,15.0,1.2639459851045376,7.337353815938255,-29.390759446697736,29,False,"{'R': np.float64(0.1816617033187693), 'GWW': np.float64(0.05517232839422137), 'BEN': np.float64(0.1334792641298912), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.28833070741124167)}"
45,1.0,6.0,20.0,2.928366580476569,7.964913513616535,-25.737914325464235,29,False,"{'R': np.float64(0.1816617033187693), 'GWW': np.float64(0.05517232839422137), 'BEN': np.float64(0.13803094883492384), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.20966136234767274)}"
45,1.0,8.0,12.0,-0.9826467166227547,1.0346534239735334,-40.44330175727721,31,False,"{'R': np.float64(0.18543437839393517), 'GWW': np.float64(0.05517232839422137), 'BEN': np.float64(0.1334792641298912), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.40443301757277217)}"
45,1.0,8.0,15.0,-1.0581002181260724,6.923629072034794,-40.44330175727721,29,False,"{'R': np.float64(0.1816617033187693), 'GWW': np.float64(0.05517232839422137), 'BEN': np.float64(0.1334792641298912), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.40443301757277217)}"
45,1.0,8.0,20.0,0.251898653383531,7.5143796630471655,-34.34847587023247,29,False,"{'R': np.float64(0.1816617033187693), 'GWW': np.float64(0.05517232839422137), 'BEN': np.float64(0.13803094883492384), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.34348475870232464)}"
45,1.2,4.0,12.0,1.0202451406329316,0.8417930740575464,-16.857878197749915,23,False,"{'R': np.float64(0.09348222895428004), 'GWW': np.float64(-0.024837711236071147), 'BEN': np.float64(0.0933938127993088), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.09224078430945781)}"
